종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
266160,2,KBSTAR 고배당,12785,2,85,0.67,12788.0,-2.044,133755,1699,805,국내 업종/테마,KBSTAR,False,False,False
157490,2,TIGER 소프트웨어,16765,5,-305,-1.79,16747.0,-5.5341,178904,2999,795,국내 업종/테마,TIGER,False,False,False
195930,4,TIGER 유로스탁스50(합성 H),14180,5,-75,-0.53,,1.8214,133957,1891,780,해외 주식,TIGER,False,False,True
376410,2,TIGER 탄소효율그린뉴딜,9975,2,15,0.15,9981.0,-2.8767,511182,5085,768,국내 업종/테마,TIGER,False,False,False
195980,4,ARIRANG 신흥국MSCI(합성 H),12355,5,-225,-1.79,,-5.0567,82308,1020,731,해외 주식,ARIRANG,False,False,True
130730,6,KOSEF 단기자금,101195,5,-15,-0.01,101197.0,0.084,84772,8578,716,채권,KOSEF,False,False,False
256750,4,KODEX 차이나심천ChiNext(합성),14535,5,-145,-0.99,,4.4468,31602,460,683,해외 주식,KODEX,False,False,False
245340,4,TIGER 미국다우존스30,20700,5,-40,-0.19,,6.6323,12912,266,683,해외 주식,TIGER,False,False,False
305080,6,TIGER 미국채10년선물,12165,2,45,0.37,,5.944,57429,697,669,채권,TIGER,False,False,False
130680,5,TIGER 원유선물Enhanced(H),3240,2,75,2.37,,0.7961,640101,2067,669,원자재,TIGER,False,False,True
114820,6,TIGER 국채3년,110250,5,-45,-0.04,110255.0,-0.1268,675,74,662,채권,TIGER,False,False,False
233160,1,TIGER 코스닥150 레버리지,16940,5,-315,-1.83,17093.0,14.537,96133,1633,661,국내 시장지수,TIGER,False,True,False
123310,3,TIGER 인버스,4345,5,-5,-0.11,4345.0,4.5673,792653,3441,656,국내 파생,TIGER,True,False,False
245360,4,TIGER 차이나HSCEI,11495,5,-170,-1.46,,-7.3103,7229,83,655,해외 주식,TIGER,False,False,False
228810,2,TIGER 미디어컨텐츠,8080,5,-90,-1.1,8071.0,3.2217,152811,1234,642,국내 업종/테마,TIGER,False,False,False
117680,2,KODEX 철강,10360,2,235,2.32,10379.0,0.8466,461791,4737,638,국내 업종/테마,KODEX,False,False,False
363510,6,SOL KIS단기통안채,100410,3,0,0.0,100406.0,0.0697,0,0,632,채권,SOL,False,False,False
